date,close,series
2018-03-29,24103.11,DJIA
2018-03-30,,DJIA
2018-04-02,23644.19,DJIA
2018-04-03,24033.36,DJIA
2018-04-04,24264.3,DJIA
2018-04-05,24505.22,DJIA
2018-04-06,23932.76,DJIA
2018-04-09,23979.1,DJIA
2018-04-10,24408.0,DJIA
2018-04-11,24189.45,DJIA
2018-04-12,24483.05,DJIA
2018-04-13,24360.14,DJIA
2018-04-16,24573.04,DJIA
2018-04-17,24786.63,DJIA
2018-04-18,24748.07,DJIA
2018-04-19,24664.89,DJIA
2018-04-20,24462.94,DJIA
2018-04-23,24448.69,DJIA
2018-04-24,24024.13,DJIA
2018-04-25,24083.83,DJIA
2018-04-26,24322.34,DJIA
2018-04-27,24311.19,DJIA
2018-04-30,24163.15,DJIA
2018-05-01,24099.05,DJIA
2018-05-02,23924.98,DJIA
2018-05-03,23930.15,DJIA
2018-05-04,24262.51,DJIA
2018-05-07,24357.32,DJIA
2018-05-08,24360.21,DJIA
2018-05-09,24542.54,DJIA
2018-05-10,24739.53,DJIA
2018-05-11,24831.17,DJIA
2018-05-14,24899.41,DJIA
2018-05-15,24706.41,DJIA
2018-05-16,24768.93,DJIA
2018-05-17,24713.98,DJIA
2018-05-18,24715.09,DJIA
2018-05-21,25013.29,DJIA
2018-05-22,24834.41,DJIA
2018-05-23,24886.81,DJIA
2018-05-24,24811.76,DJIA
2018-05-25,24753.09,DJIA
2018-05-28,,DJIA
2018-05-29,24361.45,DJIA
2018-05-30,24667.78,DJIA
2018-05-31,24415.84,DJIA
2018-06-01,24635.21,DJIA
2018-06-04,24813.69,DJIA
2018-06-05,24799.98,DJIA
2018-06-06,25146.39,DJIA
2018-06-07,25241.41,DJIA
2018-06-08,25316.53,DJIA
2018-06-11,25322.31,DJIA
2018-06-12,25320.73,DJIA
2018-06-13,25201.2,DJIA
2018-06-14,25175.31,DJIA
2018-06-15,25090.48,DJIA
2018-06-18,24987.47,DJIA
2018-06-19,24700.21,DJIA
2018-06-20,24657.8,DJIA
2018-06-21,24461.7,DJIA
2018-06-22,24580.89,DJIA
2018-06-25,24252.8,DJIA
2018-06-26,24283.11,DJIA
2018-06-27,24117.59,DJIA
2018-06-28,24216.05,DJIA
2018-06-29,24271.41,DJIA
2018-07-02,24307.18,DJIA
2018-07-03,24174.82,DJIA
2018-07-04,,DJIA
2018-07-05,24356.74,DJIA
2018-07-06,24456.48,DJIA
2018-07-09,24776.59,DJIA
2018-07-10,24919.66,DJIA
2018-07-11,24700.45,DJIA
2018-07-12,24924.89,DJIA
2018-07-13,25019.41,DJIA
2018-07-16,25064.36,DJIA
2018-07-17,25119.89,DJIA
2018-07-18,25199.29,DJIA
2018-07-19,25064.5,DJIA
2018-07-20,25058.12,DJIA
2018-07-23,25044.29,DJIA
2018-07-24,25241.94,DJIA
2018-07-25,25414.1,DJIA
2018-07-26,25527.07,DJIA
2018-07-27,25451.06,DJIA
2018-07-30,25306.83,DJIA
2018-07-31,25415.19,DJIA
2018-08-01,25333.82,DJIA
2018-08-02,25326.16,DJIA
2018-08-03,25462.58,DJIA
2018-08-06,25502.18,DJIA
2018-08-07,25628.91,DJIA
2018-08-08,25583.75,DJIA
2018-08-09,25509.23,DJIA
2018-08-10,25313.14,DJIA
2018-08-13,25187.7,DJIA
2018-08-14,25299.92,DJIA
2018-08-15,25162.41,DJIA
